ItemName,RateN,Date,Month,Day,Year,AQty,Area,VoucherType,Total
Coconut Oil 1 Ltr,800,1/1/2021,1,1,2021,87,Greater Colombo,Credit Sales-Con,69600
Coconut Oil 1 Ltr,802.5,1/2/2021,1,2,2021,103,Greater Colombo,Credit Sales-Con,82657.5
Coconut Oil 1 Ltr,799.8,1/3/2021,1,3,2021,93,Greater Colombo,Credit Sales-Con,74381.4
Coconut Oil 1 Ltr,797.2,1/4/2021,1,4,2021,97,Greater Colombo,Credit Sales-Con,77328.4
Coconut Oil 1 Ltr,794.9,1/5/2021,1,5,2021,116,Greater Colombo,Credit Sales-Con,92208.4
Coconut Oil 1 Ltr,792.3,1/6/2021,1,6,2021,133,Greater Colombo,Credit Sales-Con,105375.9
Coconut Oil 1 Ltr,789.7,1/7/2021,1,7,2021,113,Greater Colombo,Credit Sales-Con,89236.1
Coconut Oil 1 Ltr,787.1,1/8/2021,1,8,2021,88,Greater Colombo,Credit Sales-Con,69264.8
Coconut Oil 1 Ltr,784.5,1/9/2021,1,9,2021,114,Greater Colombo,Credit Sales-Con,89433
Coconut Oil 1 Ltr,781.9,1/10/2021,1,10,2021,126,Greater Colombo,Credit Sales-Con,98519.4
Coconut Oil 1 Ltr,779.3,1/11/2021,1,11,2021,97,Greater Colombo,Credit Sales-Con,75592.1
Coconut Oil 1 Ltr,776.7,1/12/2021,1,12,2021,105,Greater Colombo,Credit Sales-Con,81553.5
Coconut Oil 1 Ltr,774.1,1/13/2021,1,13,2021,107,Greater Colombo,Credit Sales-Con,82828.7
Coconut Oil 1 Ltr,771.5,1/14/2021,1,14,2021,94,Greater Colombo,Credit Sales-Con,72521
Coconut Oil 1 Ltr,768.9,1/15/2021,1,15,2021,117,Greater Colombo,Credit Sales-Con,89961.3
Coconut Oil 1 Ltr,766.3,1/16/2021,1,16,2021,105,Greater Colombo,Credit Sales-Con,80461.5
Coconut Oil 1 Ltr,763.7,1/17/2021,1,17,2021,113,Greater Colombo,Credit Sales-Con,86298.1
Coconut Oil 1 Ltr,761.1,1/18/2021,1,18,2021,92,Greater Colombo,Credit Sales-Con,70021.2
Coconut Oil 1 Ltr,758.5,1/19/2021,1,19,2021,100,Greater Colombo,Credit Sales-Con,75850
Coconut Oil 1 Ltr,755.9,1/20/2021,1,20,2021,118,Greater Colombo,Credit Sales-Con,89196.2
Coconut Oil 1 Ltr,753.3,1/21/2021,1,21,2021,101,Greater Colombo,Credit Sales-Con,76083.3
Coconut Oil 1 Ltr,750.7,1/22/2021,1,22,2021,134,Greater Colombo,Credit Sales-Con,100593.8
Coconut Oil 1 Ltr,748.1,1/23/2021,1,23,2021,100,Greater Colombo,Credit Sales-Con,74810
Coconut Oil 1 Ltr,745.5,1/24/2021,1,24,2021,110,Greater Colombo,Credit Sales-Con,82005
