Date,Year,Month,Price - Large,Price - Small,CCPI
1/1/2021,2021,1,102.5,85,119.9
2/1/2021,2021,2,103.75,86.25,120.8
3/1/2021,2021,3,97,77.5,118.9
4/1/2021,2021,4,85,67.5,118.8
5/1/2021,2021,5,90,70.83,121.3
6/1/2021,2021,6,92.5,75,126.1
7/1/2021,2021,7,85,67.5,125.9
8/1/2021,2021,8,85.83,69.17,126.7
9/1/2021,2021,9,89.2,71.45,127.1
10/1/2021,2021,10,91.88,74.38,130.8
11/1/2021,2021,11,92.5,75.5,137.6
12/1/2021,2021,12,90.25,75,145.2
1/1/2022,2022,1,90.25,72.5,150
2/1/2022,2022,2,91.88,73.75,152
3/1/2022,2022,3,91.88,75.63,155.2
4/1/2022,2022,4,93.33,75,175.2
5/1/2022,2022,5,93.75,75,191.6
6/1/2022,2022,6,96.88,75.63,226.4
7/1/2022,2022,7,97.5,75.63,239.2
8/1/2022,2022,8,98.5,77.5,244.6
9/1/2022,2022,9,102.5,80,246.9
10/1/2022,2022,10,103,81.5,242.2
11/1/2022,2022,11,108.13,86.88,238.9
12/1/2022,2022,12,108.13,88.75,238.2
1/1/2023,2023,1,117,84.5,240
2/1/2023,2023,2,120,96.25,234.7
3/1/2023,2023,3,120,95,229
4/1/2023,2023,4,120,94.17,228.8
5/1/2023,2023,5,118,90.5,232.7
6/1/2023,2023,6,113.75,93.75,235.7
7/1/2023,2023,7,111.25,91.25,235.8
8/1/2023,2023,8,110,87,232.8
9/1/2023,2023,9,110,91.25,234.1
10/1/2023,2023,10,110,94,229.5
11/1/2023,2023,11,110,95,230.3
12/1/2023,2023,12,113.75,95,238.9
1/1/2024,2024,1,113.5,95.5,247.9
2/1/2024,2024,2,113.13,100,242.8
3/1/2024,2024,3,115,95.63,237.8
4/1/2024,2024,4,113.75,93.13,235.4
5/1/2024,2024,5,111.25,90,232.6
6/1/2024,2024,6,112.5,92.5,239.1
7/1/2024,2024,7,121,100,239.4
8/1/2024,2024,8,127.5,105.63,234.6
9/1/2024,2024,9,131.5,112,233.3
10/1/2024,2024,10,148.75,121.88,231.9
11/1/2024,2024,11,158.13,133.75,231.7
12/1/2024,2024,12,182.5,155.5,240.7
